"","location","mean_rent","num_contracts","CBD_dist","CBD_mins","build_age","num_rooms","over_load","dens_household","dens_pop","commuters","tspend_commuters","month_cost","area","unemp_rate","rent_m2","l_rent_m2"
"45","            São Domingos de Benfica",566.91,1430,6,22,46.1,4.6,8.9,4701.98,7831.6,15.79,21.18,714.2,103.2,8.7,5.49331395348837,1.70353170792259
"46","            São Francisco Xavier",673.86,284,10.1,27,39.72,5.3,5.7,1834.45,3484.7,19.01,20.82,684.4,127.73,7.2,5.27565959445706,1.66310371314831
"47","            São João",521.7,1171,3.7,16,62.83,4.2,14.2,6312.53,10087.2,11.68,25.65,364.4,75.09,14.7,6.94766280463444,1.93840531591655
"48","            São João de Brito",609.27,608,6,22,53.38,5.2,7.2,3060.09,5258,14.46,20.76,NA,104.4,10.2,5.83591954022988,1.76403184376459
"49","            São João de Deus",661.08,700,4.7,18,61.8,5.3,7.5,6965.57,10596,13.08,19.06,685.7,114.75,8.3,5.76104575163399,1.75111901233197
"50","            São Jorge de Arroios",579.58,1454,3.3,14,65.87,4.9,9.9,10324.15,15893.6,11.84,21.18,655.7,93.18,11,6.22000429276669,1.82777059690627
"51","            São José",523.27,292,2.9,13,78.85,4.4,13.8,7124.47,8310.9,10.76,21.45,600,74.43,13.5,7.03036410049711,1.95023849687074
"52","            São Mamede",635.44,396,1.8,8,75.02,5.3,7.1,5445.47,8815.6,13.13,18.79,695.6,115.34,9.1,5.50927692040923,1.70643338413761
"53","            São Miguel",355.41,216,1,7,107.08,3.3,22.6,21943.32,29495.4,6.5,23.15,NA,41.81,13.5,8.50059794307582,2.1401365072663
"54","            São Nicolau",550.05,97,0,0,94.81,5.1,9.9,4511.2,4674.5,10.78,28.01,787.5,96.36,8.1,5.70828144458281,1.74191800543877
"55","            São Paulo",478.75,327,1.8,12,68.68,4.6,13.6,4661.45,6212.2,10.73,23.04,NA,79.79,12.6,6.00012532898859,1.79178035717467
"56","            São Sebastião da Pedreira",665.84,340,3.4,14,57.77,5.7,7.1,3775.99,5855.1,11.72,17.5,693.6,131.29,8.4,5.07152106024831,1.62364078449182
"57","            São Vicente de Fora",415.54,432,4.9,16,79.46,4,15.3,8368.78,11176.3,10.43,24.93,NA,66.86,13.8,6.21507627879151,1.82697799822469
"58","            Sé",544.97,72,0.5,4,85.49,5.2,8.5,7259.21,7584.3,10.22,22.58,433.3,100.3,10.7,5.43339980059821,1.69256505230872
"59","            Socorro",362.76,372,1.2,6,87.69,3.9,21.9,18860.78,27646.2,8.28,21.6,NA,51.93,17.5,6.98555748122473,1.94384480072314
"60","            Apelação",260.62,256,17.3,31,31.06,4.3,24.7,1544.94,3962,43.23,29.81,413.6,84.53,23.8,3.08316573997397,1.12595690677592
"61","            Bucelas",326.26,176,32.4,39,49.67,4.6,11.5,76.95,137.3,38.24,25.86,622.9,93.93,8.7,3.47343766634728,1.24514478550173
"62","            Camarate",365.69,1643,14.9,29,38.41,4.1,22.6,1638.95,3496.5,47.96,28.53,476.5,73.17,17.4,4.99781331146645,1.60900047906736
"63","            Fanhões",350.5,120,25,34,42.08,4.6,12.8,123.56,241,36.35,27.92,610.6,91.63,10.1,3.82516643020845,1.34160197749752
"64","            Frielas",371.23,69,18.1,31,37.32,4.4,15.5,181.68,390.2,48.71,27.86,NA,86.48,11.8,4.29266882516189,1.45690864328093
"65","            Loures",425.34,971,19.2,32,37.48,4.7,11.8,416.22,829.1,44.11,25.11,545.2,101.99,10.2,4.17040886361408,1.42801407983255
"66","            Lousa",327.9,151,33,38,49.24,4.5,10.8,107.22,191.7,41.63,23.76,617.2,92.23,9.2,3.55524232896021,1.26842322660297
"67","            Moscavide",479.69,972,10.4,23,48.47,4,13.5,7256.78,12952,60.12,25.07,666.2,84.01,9.9,5.70991548625164,1.74220422255166
"68","            Sacavém",447.06,844,15.1,29,43.19,4.2,16.1,2335.05,4522.9,51.57,25.49,521.8,84.05,15.1,5.31897679952409,1.67128095393907
"69","            Santa Iria de Azoia",376.44,712,19.7,29,29.27,4.6,11.7,1134.12,2412.7,47.72,27.54,556.9,95.24,11.5,3.95254094918102,1.37435865037193
"70","            Santo Antão do Tojal",369.84,177,27.6,35,39.17,4.6,14.2,148.76,278.6,35.24,24.81,601,94.89,11.6,3.89756560227632,1.3603521536943
"71","            São João da Talha",369.33,808,16,26,28.83,4.6,15.2,1195.31,2700.9,44.6,27.51,494.9,95.14,13,3.88196342232499,1.3563410623235
"72","            São Julião do Tojal",342.86,119,22,33,39.31,4.5,17.3,135.18,289,33.99,28.09,440.6,89.84,15.3,3.81634016028495,1.33929189014915
"73","            Unhos",315.81,680,18.2,31,35.23,4.2,23.7,972.81,2121.2,42.11,31.11,539.3,74.26,16.3,4.25276057096687,1.44756831818241
"74","            Portela",603.71,228,11.2,27,32.17,5.3,6,5548.69,11978.9,63.78,24.86,615.3,125.7,9.3,4.80278440731901,1.56919583458779
"75","            Bobadela",434.23,232,13.7,24,40.64,4.5,9.3,1223.8,2476.5,53.48,25.7,524.4,93.35,10.3,4.65163363685056,1.53721847765374
"76","            Prior Velho",380.93,319,13.7,32,36.14,4.1,20.5,2566.94,5406.6,57.99,26.1,538.2,83.91,13.6,4.53974496484329,1.51287083533072
"77","            Santo António dos Cavaleiros",444.31,797,19.8,31,26.64,4.6,13.9,3283.71,7124.9,52.71,28.64,440.1,92.56,13.7,4.80023768366465,1.56866543411803
"78","            Azueira",307.09,74,41.7,46,45.83,5,9.4,104.29,208.4,41.21,22.34,523.9,114.13,7.3,2.6907035836327,0.989802714667927
"79","            Carvoeira",393.02,86,54.5,52,25.22,5,9.4,202.12,262.4,51.05,28.12,571.3,122.32,11.5,3.21304774362328,1.16721993953881
"80","            Cheleiros",325.4,63,47.6,48,41.69,4.9,9.1,68.6,117,41.28,20.32,565.8,106.95,11.2,3.04254324450678,1.11269375925652
"81","            Encarnação",339.38,116,60.1,56,35.35,5,11,85.26,168.3,31.48,23.65,525.1,119.15,10.2,2.84834242551406,1.04673721999993
"82","            Enxara do Bispo",300.54,46,42.8,45,34.66,4.6,15.3,45.91,96.4,38.04,22.81,550.7,106.75,7.8,2.81536299765808,1.03509120448885
"83","            Ericeira",444.07,521,53.8,51,27.56,4.8,11.2,752.77,851.4,35.44,26.2,556.8,115.55,11,3.84309822587624,1.34627887094283
"84","            Gradil",343.94,33,43.2,46,41.57,5.1,8.4,88.62,166.1,40.76,25.11,568.5,129.96,7.5,2.64650661742074,0.973240512755154
"85","            Igreja Nova",352.71,120,43.8,45,37.63,5.1,7.6,60.35,118.9,44.13,23.94,578.2,122.93,9.2,2.86919385015863,1.05403110186851
"86","            Mafra",416.22,709,44.4,47,29.34,4.9,9,190.15,375.1,33.37,23.07,503.2,117.81,8.6,3.53297682709447,1.26214080936724
"87","            Malveira",409.43,363,37.3,40,41.33,4.6,10,336.32,664.2,41.98,24.15,485.4,107.97,9,3.79207187181625,1.3329125377512
"88","            Milharado",389.76,155,36.7,42,32.33,5,10.1,126.27,287.5,46.9,24.52,506.5,121.79,7.1,3.200262747352,1.16323291498246
"89","            Santo Estêvão das Galés",321.71,35,41.5,48,40.49,4.8,12.5,49.59,96.1,43.19,25.83,593.8,105.54,8.7,3.04822815993936,1.11456049064601
"90","            Santo Isidoro",408.05,87,57.2,53,29.26,5.1,9.4,95.32,153.6,28.4,23.82,588.8,126.06,10,3.23695065841663,1.17463173183029
"91","            Sobral da Abelheira",333.65,26,56.3,53,38.13,4.9,8.3,40.78,74.6,26.96,25.84,600,116.77,7.3,2.85732636807399,1.04988635126199
"92","            Vila Franca do Rosário",355.36,28,40.1,42,62.07,5.2,11.8,70.54,140.3,31,22.66,706.3,115.19,10.6,3.08499001649449,1.1265484212077
"93","            Venda do Pinheiro",462.01,312,34.9,40,31.51,4.9,10,318.29,696.6,49.55,24.18,594.2,125.73,9.1,3.6746202179273,1.30144978526404
"94","            São Miguel de Alcainça",407.14,56,43.2,44,26.06,4.9,6.7,122.65,249.5,44.03,25.48,555,120.6,9,3.3759535655058,1.21667782234582
"95","            Barcarena",423.25,345,16.9,33,31.58,4.7,10.2,711.51,1537.9,53.47,25.95,598.2,105.08,9.2,4.02788351732014,1.39324105619591
"96","            Carnaxide",450.09,993,11.9,32,29.95,4.6,12.5,1800.8,3978.2,48.18,23.34,551.5,104.53,11.7,4.30584521190089,1.45997345122242
"97","            Oeiras e São Julião da Barra",551.64,1670,18.4,37,36.67,4.6,10.6,2720.45,5029.2,49.97,28.21,606.1,103.67,10.8,5.32111507668564,1.67168288227112
"98","            Paço de Arcos",481.08,954,17.8,36,34.62,4.4,15.9,2644.18,4512,51.24,27.97,716,94.06,11,5.11460769721454,1.63210069992551
"99","            Algés",548.92,1034,10.3,26,44.47,4.6,9.4,5901.99,11254.7,55.75,22.53,605.8,108.43,9.3,5.06243659503827,1.62184790791734
"100","            Cruz Quebrada-Dafundo",513.48,362,11.4,29,46.44,4.3,11.9,1247.98,2192.5,52.92,25.51,716.7,90.64,10.6,5.66504854368932,1.73431546349698
"101","            Linda-a-Velha",527.85,750,10.7,29,39.04,4.6,9.6,4439.42,8741.2,50.89,23.94,769.3,101.8,10.2,5.18516699410609,1.64580204831928
"102","            Porto Salvo",367.8,513,18.7,39,30.73,4.6,16,901.82,2064.2,39.77,26.61,593.3,97.72,14.1,3.76381498158002,1.32543306578068
"103","            Queijas",498.24,283,15.2,31,30.71,4.8,8.6,2041.23,4512.5,49.83,24.45,595.1,111.43,9.2,4.47132729067576,1.49768529758667
"104","            Caxias",481.84,235,16.2,32,32.69,5.1,10.1,1159.5,2640.6,50.11,27.38,574.8,113.31,10.5,4.2524049068926,1.44748468334299
"105","            Algueirão-Mem Martins",406.52,2693,26.4,30,33.72,4.6,15.5,1928.73,4141.8,36.43,27.11,508.7,97.23,14,4.18101409030135,1.430553822448
"106","            Almargem do Bispo",319.29,361,26.7,32,37.61,4.8,11.9,113.8,225.7,41.81,23.91,637.2,104.19,11.1,3.06449755254823,1.11988362529697
"107","            Belas",416.25,724,17.1,24,33.58,4.5,16,489.83,1142.2,50.08,27.7,665.5,104.57,12.1,3.98058716649135,1.38142933768416
"108","            Colares",397.81,416,37.3,41,40.5,5,12.4,181.02,228.6,25.89,25.78,657.4,106,11.1,3.75292452830189,1.32253541025228
"109","            Montelavar",308.88,200,34.8,37,45.98,4.7,11.3,206.4,412.9,20.16,19.51,498.5,90.26,13.5,3.42211389319743,1.23025845755713
"110","            Queluz",405.62,1257,14.8,21,49.41,4.2,16.6,3771.08,7229.3,55.33,28.37,474.7,80.23,16.7,5.05571481989281,1.62051925096042
"111","            Rio de Mouro",453.76,1932,22.1,25,30.67,4.5,16.3,1334.01,2868.4,43.07,28.12,470.5,98.47,14.3,4.60810399106327,1.527816490644
"112","            Sintra (Santa Maria e São Miguel)",416.15,391,28.6,32,42.9,5,8.5,403.04,765.4,31.36,24.04,564.6,107.1,10.5,3.88562091503268,1.3572827947384
"113","            São João das Lampas",375.12,642,40.1,40,33.15,4.9,11.8,116.75,198.1,22.65,24.83,594,107.26,11.2,3.49729628939027,1.25199018122655
"114","            Sintra (São Martinho)",379.74,240,29,35,42.14,5.1,10.1,145.59,255.7,25.15,23.8,698.8,113.9,11,3.33397717295874,1.20416593756213
"115","            Sintra (São Pedro de Penaferrim)",517.15,482,30.3,30,32.65,5.1,10.5,233.82,519.1,42.79,23.16,719.5,122.63,9.9,4.21715730245454,1.43916127604988
"116","            Terrugem",337.03,267,42.1,46,39.67,4.7,11.9,96.06,195.9,19.83,20.64,704,101.04,10.1,3.33560965954078,1.20465546911953
"117","            Pêro Pinheiro",307.84,257,26.7,33,48.23,4.6,12.7,153.36,271.3,17.29,18.75,566.9,90.24,13.9,3.4113475177305,1.22710737972759
"118","            Casal de Cambra",422.87,807,20.9,26,29.3,4.4,20.9,2644.84,5854.3,59.65,29.47,511.6,89.96,15,4.70064473099155,1.54769967611485
"119","            Massamá",476.89,767,17.5,23,26.3,4.5,13,6940.68,15373.2,52.9,27.97,533.1,106.15,12.4,4.4926048045219,1.50243266817851
"120","            Monte Abraão",412.23,937,15.8,22,29.86,4.3,18.3,7987.61,16551.9,53.98,29.5,412.5,87.56,14.2,4.70797167656464,1.54925717335713
"121","            Agualva",420.65,1333,19.5,24,37.72,4.3,18.4,3596.1,7423,46.41,30.93,472,88.54,15,4.75096001807093,1.55834670669283
"122","            Cacém",397.9,817,19.6,23,36.18,4.2,19,4618.47,9819.5,45.32,29.79,467,86.29,13.9,4.61119480820489,1.52848700091267
"123","            Mira-Sintra",279.06,122,25.7,28,39.22,5.2,10,2065.72,4573.2,37.49,33.08,NA,96.12,19.2,2.90324594257179,1.06582940159579
"124","            São Marcos",439.75,894,22.5,26,28.3,4.1,21.9,3579.05,7651.1,59.26,29.42,601.8,87.5,12.5,5.02571428571429,1.6145675902541
"125","            Alhandra",301.25,310,34.9,34,49.97,4.3,12,1362.66,2580.6,33.29,25.03,592.1,81.41,14.7,3.70040535560742,1.30844236921898
"126","            Alverca do Ribatejo",378.57,1104,27,30,33.2,4.4,11.7,767.01,1605.3,41.99,26.51,472.8,96.8,11.4,3.91084710743802,1.3637540020504
"127","            Cachoeiras",320.68,11,39.2,43,48.07,5,12.8,37.37,77.6,38.94,23.75,812.5,127.83,8.8,2.50864429320191,0.919742484994821
"128","            Calhandriz",397.73,11,30.9,34,45.71,4.9,6.4,66.64,111.9,45.82,26.75,547.5,114.74,9.6,3.46635872407182,1.24310468393897
"129","            Castanheira do Ribatejo",323.02,272,39.5,37,43.15,4.5,12.1,211.44,443.6,36.37,22.44,445.8,94.24,13.7,3.42763157894737,1.23186952090709
"130","            Póvoa de Santa Iria",421.66,865,20.7,28,31,4.5,11.1,2795.46,6379.1,57.66,28.34,500.9,103.58,9.4,4.07086310098475,1.4038550410961
"131","            São João dos Montes",308.66,121,37.2,38,29.39,4.9,9,159.15,333.7,40.92,27.43,535.9,118.65,10.3,2.60143278550358,0.956062364590913
"132","            Vialonga",372.32,669,21.9,32,37.19,4.5,13,519.89,1173.1,49.36,28.06,453.1,93.84,11.7,3.96760443307758,1.37816249520876
"133","            Vila Franca de Xira",316.06,847,36.2,34,43.03,4.5,11.7,47.48,85.5,33.25,24.17,564.4,92.87,12.6,3.40325185743512,1.22473140319304
"134","            Sobralinho",397.42,222,29,33,46.66,4.4,12.4,530.27,1106.6,35.69,25.39,452.8,90.45,11.9,4.39380873410724,1.48019644413637
"135","            Forte da Casa",379.91,440,22.1,30,25.36,4.3,17.3,1116.38,2424.4,50.52,30.08,504.1,88.22,11.3,4.30639310813874,1.46010068788685
"136","            Alfragide",589.31,221,9.7,19,29.12,5,5.7,3376.95,7420.8,65.17,21.97,775,116.88,8.2,5.04200889801506,1.61780459354304
"137","            Brandoa",314.55,1384,15.1,22,36.54,3.9,24.6,3761.82,8014.7,46.91,28.11,466.9,64.65,18.8,4.86542923433875,1.58215494079817
"138","            Buraca",378.62,547,11.9,23,32.91,4.4,19.7,4379.45,9577.9,51.88,24.05,NA,77.53,18.4,4.88352895653296,1.5858681053509
"139","            Damaia",411.53,803,13.7,20,40.18,4.2,15,8094.93,14810.5,55.15,23.99,549.4,81.49,13.9,5.05006749294392,1.61940160813735
"140","            Falagueira",393.48,593,14.1,23,39.7,4.1,16.9,4758.98,9843.8,51.41,25.66,477.3,76.16,16.4,5.16649159663866,1.64219385016145
"141","            Mina",426.94,774,14.3,23,39.34,4.2,17.1,3282.95,6390.6,53.18,27.05,510.7,79.42,17.1,5.3757239989927,1.68189326242985
"142","            Reboleira",392.14,1145,12.3,18,36.41,3.7,26.6,11356.61,18902.2,53.33,25.55,NA,67.8,16.6,5.78377581120944,1.75505672394093
"143","            Venteira",440.98,932,14.2,22,43.62,4.2,14.1,2150.75,3796,55.55,25.16,568.6,80.2,13.3,5.49850374064838,1.70447600807205
"144","            Alfornelos",512.76,336,14.2,21,33.11,4.5,11.8,5854.99,12357.5,66.7,26.41,NA,96.01,12.7,5.3406936777419,1.6753555467344
"145","            São Brás",411.3,876,17.5,23,27.48,4.3,18.9,2205.86,5072,53.84,27.58,482.8,89.52,13.2,4.59450402144772,1.52486081123271
"146","            Venda Nova",398.2,442,12.8,19,46.65,4.1,17.5,3926.07,7059.2,57.94,26.66,241.7,72.81,15.3,5.46902897953578,1.69910108322348
"147","            Caneças",361.96,583,22.3,29,30.83,4.7,13.8,930.79,2069.5,50.5,28.33,562.4,98.02,12.2,3.69271577229137,1.30636216900153
"148","            Famões",366.39,343,19.4,27,19.65,5,13.1,1080.66,2427.6,52.59,28.74,549.2,114.85,11.4,3.19016107966913,1.160071410716
"149","            Odivelas",415.37,2356,19.4,26,35.81,4.4,13,5789.64,11717.6,58.03,27.31,506.2,90.57,11.4,4.58617643811417,1.52304665689977
"150","            Olival Basto",345.87,382,18.9,25,42.07,4,19.2,2232.82,4284.3,60.58,30.86,NA,73.51,15.1,4.70507413957285,1.54864153052698
"151","            Pontinha",355.91,1417,14.6,21,35.55,4.2,18.5,2488.28,4970.7,52.16,28.09,494.4,79.64,15.4,4.46898543445505,1.49716141070569
"152","            Póvoa de Santo Adrião",397.98,511,18.8,26,34.41,4.4,15.3,5068.53,10573.4,55.7,27.85,479.5,86.59,14.1,4.59614274165608,1.52521741730581
"153","            Ramada",427.87,509,21,25,28.18,4.7,10.3,2414.96,5582.2,55.67,26.44,488,102.53,9.3,4.17312006242075,1.42866397244421
"154","            Alcochete",445.52,438,34.6,36,37.36,4.8,8.8,52.12,102.5,47.56,24.01,591.4,110.96,12.4,4.01514059120404,1.39007236327484
"155","            Samouco",323.85,139,38.8,39,43.27,4.7,9.8,327.43,660.1,51.86,23.13,508.3,106.22,13,3.0488608548296,1.11476803063467
"156","            São Francisco",413.37,72,36.3,36,27.53,4.9,8.6,251.1,525.5,56.03,24.23,650.4,133.41,9,3.09849336631437,1.13091598248321
"157","            Almada",404.45,906,13,22,56.23,4.4,9.4,7569.34,12096.9,42.77,28.87,480.6,86.43,14.9,4.6795094295962,1.54319328169941
"158","            Caparica",310.95,767,14.5,21,36.82,4.5,15.9,994.75,1857.5,36.29,28.19,500,86.03,18.4,3.61443682436359,1.28493605491664
"159","            Costa da Caparica",425.09,872,17.3,22,42.04,4.2,16.1,1374.5,1318.3,40.27,29.91,512,82.99,13.9,5.12218339558983,1.63358079260096
"160","            Cova da Piedade",445.6,970,12.3,20,51.56,4.6,8.3,7657.33,13984,43.77,28.36,559.6,90.07,13.4,4.94726323970245,1.59883454281742
"161","            Trafaria",334.71,174,18.6,25,50.88,4.4,16,573.79,993.4,32.64,31.7,632.1,77.22,20.3,4.33449883449883,1.46660599443711
"162","            Cacilhas",419.63,284,13.7,24,51.15,4.5,9.9,3416.53,5523.2,46.72,31.38,NA,92.45,13.2,4.53899405083829,1.51270541279673
"163","            Pragal",370.47,201,12.8,21,49.88,4.6,12.7,1489.32,3151.3,41.98,26.93,NA,94.97,15.8,3.90091607876171,1.36121141754298
"164","            Sobreda",391.88,373,14.4,22,26.35,5,9.6,1122.51,2459.8,41.04,28.21,469.3,111.62,12,3.51084035119154,1.25585542511615
"165","            Charneca de Caparica",473.4,707,19.2,24,22.82,5.2,8.3,786.89,1286.1,43.11,30.44,647.5,124.24,10.8,3.81036703155184,1.33772551823945
"166","            Laranjeiro",436.41,1029,13.6,24,41.9,4.4,15.7,2720.51,5415.2,40.47,29.76,480.4,84.74,18.1,5.14998819919755,1.63899442325507
"167","            Feijó",392.67,906,13.6,22,33.92,4.5,12.3,2343.39,4785.6,40.74,29.15,492.8,91.98,12.6,4.26908023483366,1.45139840235996
"168","            Barreiro",307.51,379,33.3,41,61.48,4.6,9,1341.44,2009.3,41.19,30.99,511.5,90.14,15.4,3.41147104504105,1.2271435897805
"169","            Lavradio",342.97,392,39.1,38,44.03,4.4,10.9,1812.38,3581.6,48.49,33.74,427.7,90.33,14.2,3.79685597254511,1.33417334862218
"170","            Palhais",339.42,52,28.5,32,28.4,5.1,5.8,128.81,262.8,43.74,28.44,446,125.01,11.1,2.71514278857691,0.998844544480648
"171","            Santo André",332.16,358,37.1,35,36.18,4.4,10.9,1360.27,2744.9,44.71,32.09,471.8,90.01,13.9,3.69025663815132,1.30569600526848
"172","            Verderena",339.32,454,32.6,36,45.21,4.3,11.5,4612.59,8289.4,49.64,35.24,473.7,80.09,15.9,4.23673367461606,1.44379261260394
"173","            Alto do Seixalinho",326.82,680,38.8,37,43.91,4.2,11.9,6225.15,11386,45.65,33.84,463.1,82.6,16.9,3.95665859564165,1.37539988009671
